Macbeth	F. Murray Abraham	Star Trek
Macbeth	Christopher Walken	James Bond
Iago	Dominic West	Star Wars, Marvel
Iago	Ewan Mcgregor	Star Wars
Iago	Abraham Sofaer	Star Trek
Iago	Antony Sher	The Hobbit
Iago	Andy Serkis	The Lord of the Rings, The Hobbit, Star Wars, Marvel
Iago	Lucian Msamati	Game of Thrones
Iago	David Calder	James Bond
Iago	Rory Kinnear	James Bond
Iago	Jack Klaff	James Bond, Star Wars
Iago	Ian McKellen	The Lord of the Rings, The Hobbit, X-Men
Iago	Ron Canada	Star Trek
Iago	Colm Feore	Spider-Man
Iago	Mitchell Ryan	Star Trek
Iago	Liev Schreiber	Liev Schreiber	Marvel, X-Men
Iago	Daniel Craig	James Bond, Star Wars
Iago	Christopher Plummer	Star Trek
Iago	Christopher Walken	James Bond
Othello	John Kani	Marvel
Othello	Nonso Anozie	Game of Thrones
Othello	Ray Fearon	Harry Potter
Othello	Chiwetel Ejiofor	Marvel
Othello	Hugh Quarshie	Star Wars
Othello	Lenny Henry	Harry Potter
Othello	Faran Tahir	Star Trek, Marvel
Othello	Alan Scarfe	Star Trek
Othello	Avery Brooks	Star Trek
Othello	Patrick Stewart	Star Trek, X-Men
Othello	James Earl Jones	Star Wars
Richard III	Antony Sher	The Hobbit
Richard III	Anton Lesser	Game of Thrones
Richard III	Henry Goodman	Marvel
Richard III	Kathryn Hunter	Harry Potter
Richard III	Ciaran Hinds	Game of Thrones, Harry Potter
Richard III	Christopher Plummer	Star Trek
Richard III	Alan Howard	The Lord of the Rings
Richard III	Ian Holm	The Lord of the Rings, The Hobbit
Richard III	Colm Feore	Spider-Man
Richard III	Ralph Fiennes	James Bond, Harry Potter
Richard III	Ian McKellen	The Lord of the Rings, The Hobbit, X-Men
Richard III	Ron Cephas Jones	Marvel
Richard III	Peter Dinklage	Game of Thrones, Marvel, X-Men
Richard III	Michael Cumpsty	Star Trek
Richard III	Alec Guinness	Star Wars
Richard III	Martin Freeman	The Hobbit, Marvel
Prospero	Roger Allam	Game of Thrones
Prospero	Harriet Walter	Star Wars
