bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
person not found on wiki	1988-08-11T00:00:00	Miranda	Cecilia Noble	Declan Donnellan	Cheek By Jowl	Villa Communale, Italy	unknown	unknown		
person not found on wiki	1968-07-16T00:00:00	Miranda	Maureen O’Brien	David Jones	Chichester Festival	Chichester Festival Theatre	unknown	unknown
person not found on wiki	1992-12-03T00:00:00	Miranda	Mariko Fuji	Yukio Ninagawa	Royal Shakespeare Company	Barbican Theatre, London	unknown	unknown
person not found on wiki	2015-09-08T00:00:00	Miranda	Eva Louise Balistrieri	Aaron Posner & Teller	Chicago Shakespeare Theater	The Yard	unknown	unknown
person not found on wiki	1988-07-27T00:00:00	Miranda	Melanie Thaw	Nicholas Hytner	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2016-01-01T00:00:00	Miranda	Phoebe Pryce	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
person not found on wiki	2012-05-30T00:00:00	Miranda	Emily Kitchens	Jonathan Moscone	California Shakespeare Theater	Bruns Amphitheater	unknown	unknown
person not found on wiki	2016-09-23T00:00:00	Miranda	Leah Harvey	Phyllida Lloyd	Donmar Warehouse	Donmar King's Cross	unknown	unknown
person not found on wiki	2010-03-25T00:00:00	Miranda	Ffion Jolly	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres	unknown	unknown
person not found on wiki	2007-03-01T00:00:00	Miranda	Sarah Cattle	Barrie Rutter	Northern Broadsides	New Vic Theatre	unknown	unknown
person not found on wiki	1995-09-12T00:00:00	Miranda	Sarah-Jane Holm	David Thacker	Royal Shakespeare Company	Tour	unknown	unknown
person not found on wiki	1951-06-26T00:00:00	Miranda	Hazel Penwarden	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1978-05-02T00:00:00	Miranda	Sheridan Fitzgerald	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2018-05-28T00:00:00	Miranda	Mamie Zwettler	Antoni Cimolino	Stratford Festival	Festival Theatre	unknown	unknown
person not found on wiki	2009-02-18T00:00:00	Miranda	Tinarie Van Wyk Loots	Janice Honeyman	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2014-08-08T00:00:00	Miranda	Kate Abbruzzese	Jade King Carroll	Chautauqua Theatre Company	Bratton Theatre Mainstage	unknown	unknown
person not found on wiki	2002-05-07T00:00:00	Miranda	Sirine Saba	Michael Boyd	Royal Shakespeare Company	The Roundhouse, London	unknown	unknown
person not found on wiki	1957-12-05T00:00:00	Miranda	Doreen Aris	Peter Brook	Royal Shakespeare Company	Theatre Royal, Drury Lane, London	unknown	unknown
person not found on wiki	1911-07-31T00:00:00	Miranda	Ethel Mcdowall	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2011-03-15T00:00:00	Miranda	Anneika Rose	Peter Glanville	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1934-04-16T00:00:00	Miranda	Gwynne Whitby	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1974-10-22T00:00:00	Miranda	Debbie Bowen	Keith Hack	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	unknown	unknown
person not found on wiki	2013-08-24T00:00:00	Miranda	Morgan Western	Matthew Windham	Utah Children’s Theatre	Utah Children’s Theatre, South Salt Lake, UT, USA	unknown	unknown
person not found on wiki	2016-11-17T00:00:00	Miranda	Jenny Rainsford	director unknown	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown
person not found on wiki	1934-04-16T00:00:00	Miranda	Gwynne Whitby	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
