2010	Macbeth	Elliot Cowan	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
2010	Lady Macbeth	Laura Rogers	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
2007	Romeo	Richard Madden	Edward Dick	Shakespeare's Globe	Shakespeare's Globe
2007	Juliet	Ellie Piercy	Edward Dick	Shakespeare's Globe	Shakespeare's Globe
2008	Juliet	Dominique Bull	Elizabeth Freestone	Shakespeare's Globe	Shakespeare's Globe
2008	Romeo	Alan Morrissey	Elizabeth Freestone	Shakespeare's Globe	Shakespeare's Globe
2009	Romeo 	Adetomiwa Edun	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2009	Juliet	Ellie Kendrick	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2009	Lady Capulet	Miranda Foster	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2007	Othello	Eamonn Walker	Wilson Milam	Shakespeare's Globe	Shakespeare's Globe
2007	Iago	Tim McInnerny	Wilson Milam	Shakespeare's Globe	Shakespeare's Globe
2007	Desdemona	Zoe Tapper	Wilson Milam	Shakespeare's Globe	Shakespeare's Globe
2008	Lear's Fool	Danny Lee Wynter	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2008	Lear's Knight	Kevork Malikyan	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2008	King Lear	David Calder	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2000	Ophelia	Penny Layden	Giles Block	Shakespeare's Globe	Shakespeare's Globe
2001	Fool	John McEnery	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe
2001	King Lear	Julian Glover	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe
2001	Macbeth	Jasper Britton	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
2001	Lady Macbeth	Eve Best	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
2004	Juliet	Kananu Kirimi	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
2004	Romeo	Tom Burke	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
2005	Antonio, Ariel, Mirando, Trinculo	Edward Hogg	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
2005	Prospero, Sebastian, Stephano	Mark Rylance	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe
1999	Pompey / Messenger 2 / Taurus / Soldier to Cleopatra / Soldiers 6 & 9 / Diomedes / Gallus	Mark Lewis Jones	Giles Block	Shakespeare's Globe	Shakespeare's Globe
1999	Cleopatra	Mark Rylance	Giles Block	Shakespeare's Globe	Shakespeare's Globe
1999	Antony	Paul Shelley	Giles Block	Shakespeare's Globe	Shakespeare's Globe
2000	Prospero	Vanessa Redgrave	Lenka Udovicki	Shakespeare's Globe	Shakespeare's Globe
2000	Miranda	Kananu Kirimi	Lenka Udovicki	Shakespeare's Globe	Shakespeare's Globe
2000	Ariel	Geraldine Alexander	Lenka Udovicki	Shakespeare's Globe	Shakespeare's Globe
