19.04.1883	Lady Macbeth	Adelaide Helen Calvert	Elliot Galer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
19.04.1883	Macbeth	John Wainwright	Elliot Galer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
04.04.1978	Lady Macbeth	Judi Dench	Trevor Nunn	Royal Shakespeare Company	Young Vic, London
04.04.1978	Macbeth	Ian McKellen	Trevor Nunn	Royal Shakespeare Company	Young Vic, London
11.05.1905	Desdemona	Constance Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
11.05.1905	Iago	Arthur Whitby	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
04.08.1920	Macbeth	Murray Carrington	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
04.08.1920	Lady Macbeth	Ethel Warwick	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
03.06.2004	Iago	Antony Sher	Gregory Doran	Royal Shakespeare Company	Trafalgar Studios at the Whitehall Theatre, London
03.06.2004	Othello	Sello Maake Ka-Ncube	Gregory Doran	Royal Shakespeare Company	Trafalgar Studios at the Whitehall Theatre, London
03.06.2004	Desdemona	Lisa Dillon	Gregory Doran	Royal Shakespeare Company	Trafalgar Studios at the Whitehall Theatre, London
21.02.2007	Macbeth	Gabriel Paul Gawin	Grzegorz Bral	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
21.02.2007	Lady Macbeth	Anna Zubrzycki	Grzegorz Bral	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
26.02.1980	Desdemona	Suzanne Bertish	Ronald Eyre	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
26.02.1980	Iago	Bob Peck	Ronald Eyre	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
26.02.1980	Othello	Donald Sinden	Ronald Eyre	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
11.04.1939	Desdemona	Joyce Bland	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
11.04.1939	Iago	Alec Clunes	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
11.04.1939	Othello	John Paton Laurie	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
10.10.1961	Iago	Ian Bannen	Franco Zeffirelli	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
10.10.1961	Othello	John Gielgud	Franco Zeffirelli	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
