actor_name	formatted_bday	actor_gender	ethnicity	age_is_est	birthday_data_source_link	bday_data_source	is_actor	photo_url	ethnic_cat
John Byron	1912-08-03T00:00:00	male	none	FALSE	https://www.imdb.com/name/nm0126400/	IMDb	TRUE		none
Robert Harris	1900-03-28T00:00:00	male	none	FALSE	https://www.imdb.com/name/nm0365248/	IMDb	TRUE		none
Elizabeth Chadwick	no birthday on article	unknown	none	FALSE			flagged		none
Eleanor Robson	1879-12-13T00:00:00	female	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/b/be/Eleanor_Robson_Belmont_in_1916.jpg	none
Sandra Macdonald	no birthday on article	unknown	none	FALSE			flagged		none
Duncan Bell	1955-01-16T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Andrew Vincent	no birthday on article	unknown	none	FALSE			flagged		none
Robert Laughlin	no birthday on article	unknown	none	FALSE			flagged	upload.wikimedia.org/wikipedia/commons/f/f0/Robert_Laughlin%2C_Stanford_University.jpg	none
James K. Hackett	1869-09-06T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/1/12/James_Keteltas_Hackett.jpg	none
Patrice Johnson	no birthday on article	unknown	none	FALSE			flagged		none
Claire Stewart	no birthday on article	unknown	none	FALSE			flagged		none
Louise Ironside	no birthday on article	unknown	none	FALSE			flagged		none
Miss Vincent	no birthday on article	unknown	none	FALSE			flagged		none
Marie Carroll	no birthday on article	unknown	none	FALSE			flagged		none
Matthew Walker	no birthday on article	unknown	none	FALSE			flagged		none
Richard Davy	no birthday on article	male	none	FALSE			flagged		none
Eileen Kennally	not a date	unknown	none	FALSE		Wikipedia	flagged		none
Dharmesh Patel	1980-08-01T00:00:00	male	Asian	TRUE	https://www.theguardian.com/stage/2010/feb/05/shakespeare-school-theatre-hamlet	The Guardian. Production preview.	TRUE		none
Ben Kingsley	1943-12-31T00:00:00	male	Asian	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/9/90/Sir_Ben_Kingsley_2012.jpg/220px-Sir_Ben_Kingsley_2012.jpg	Indian,South Asian,Gujarati,Kenyan
Anthony Lee	1961-07-17T00:00:00	male	Black	FALSE	https://en.wikipedia.org/wiki/Anthony_Lee_(actor)	Wikipedia	TRUE		none
Moses Gunn	1919-10-02T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/d/db/Moses_Gunn_1974.jpg/220px-Moses_Gunn_1974.jpg	none
Earle Hyman	1926-10-11T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/8/87/EarlHyman-I-HF0718_%28cropped%29.jpg/220px-EarlHyman-I-HF0718_%28cropped%29.jpg	none
Ron O'Neal	1937-09-01T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/en/thumb/f/fd/Ron_O%27neal.jpg/260px-Ron_O%27neal.jpg	none
Rudolph Walker	1939-09-28T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Rudolph_Walker.jpg/220px-Rudolph_Walker.jpg	Trinidad and Tobago
Bernard Hill	1944-12-17T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Bernard_Hill2_%28cropped%29.jpg/200px-Bernard_Hill2_%28cropped%29.jpg	none
Jeffery Kissoon	1947-09-04T00:00:00	male	Black	FALSE		Wikipedia	TRUE		none
