Apr 23, 1923	Jaques	A. E. Anson	director unknown	American National Theatre and Robert Milton	48th Street Theatre
Apr 23, 1923	Orlando	Ian Keith	director unknown	American National Theatre and Robert Milton	48th Street Theatre
Apr 23, 1923	Rosalind	Marjorie Rambeau	director unknown	American National Theatre and Robert Milton	48th Street Theatre
Oct 1921	Lady of Portia's House	Lillian Gray	director unknown	Messrs. Shubert	Century Theatre
Oct 1921	Bassanio	Frederick Lewis	director unknown	Messrs. Shubert	Century Theatre
Oct 1921	Portia	Miss Marlowe	director unknown	Messrs. Shubert	Century Theatre
Oct 1921	Lady of Portia's House	Dina Schleicher	director unknown	Messrs. Shubert	Century Theatre
Oct 1921	Shylock	Mr. Sothern	director unknown	Messrs. Shubert	Century Theatre
Sep 22, 1913	Orlando	Frederick Lewis	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Sep 22, 1913	Rosalind	Julia Marlowe	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Sep 22, 1913	Jaques	E. H. Sothern	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Mar 08, 1909	Shylock	Robert B. Mantell	director unknown	William A. Brady	New Amsterdam Theatre
Mar 08, 1909	Portia	Marie Booth Russell	director unknown	William A. Brady	New Amsterdam Theatre
Sep 30, 1912	Jaques	P. J. Kelly	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Sep 30, 1912	Orlando	Frederick Lewis	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Sep 30, 1912	Rosalind	Julia Marlowe	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Sep 30, 1912	Jaques	E. H. Sothern	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Jan 17, 1910	Shylock	Ben Greet	director unknown	Ben Greet Repertory	Garden Theatre
Jan 17, 1910	Portia	Keith Wakeman	director unknown	Ben Greet Repertory	Garden Theatre
Jan 17, 1910	Bassanio	Robert Whitworth	director unknown	Ben Greet Repertory	Garden Theatre
Feb 17, 1908	Bassanio	Arthur Forrest	director unknown	Mr. Hazelton and Mr. North	Bijou Theatre
Feb 17, 1908	Shylock	Henry Ludlowe	director unknown	Mr. Hazelton and Mr. North	Bijou Theatre
Feb 17, 1908	Portia	Keith Wakeman	director unknown	Mr. Hazelton and Mr. North	Bijou Theatre
Oct 16, 1905	Portia	Julia Marlowe	director unknown	Charles Frohman	Knickerbocker Theatre
