x,y
278.40000000000003,9.600000000000001
266.99931640625,10.617872619628907
254.633056640625,9.545352172851564
242.32937011718752,8.630606842041017
232.258056640625,14.314524841308595
219.85205078125,14.721841430664064
207.4546875,15.314102172851562
195.21804199218752,16.83491363525391
184.5137451171875,21.27494354248047
175.32692871093752,28.300329589843752
167.10965576171876,36.19692687988282
157.68997802734376,44.25315856933594
147.37957763671875,49.83782653808594
139.2079833984375,57.76318969726563
133.31405029296874,68.10726928710938
126.3756591796875,77.60182495117188
123.68831787109376,89.44423828125001
116.42467041015625,99.50524291992188
107.52403564453125,106.89749755859376
102.68338623046876,117.55762939453126
98.23189697265626,126.87723388671876
92.42120361328125,136.1162353515625
83.61897583007813,144.22430419921875
72.91425170898438,147.9922119140625
67.04005126953125,155.13176269531252
60.653045654296875,164.18474121093752
59.812817382812504,176.5633544921875
59.581823730468756,188.97330322265626
63.99998168945313,184.34962158203126
72.79998168945313,184.06302490234376
69.60053100585938,194.59205322265626
61.101251220703126,198.91679687500002
54.8017822265625,208.52983398437502
52.457916259765625,220.505078125
55.21500854492188,232.2241943359375
63.90632934570313,239.2111572265625
69.14967651367188,248.7032470703125
71.96911010742188,260.6968994140625
77.710498046875,271.0596435546875
86.97464599609376,276.0000244140625
90.84368286132813,283.9249267578125
91.11463012695313,296.3218017578125
96.49896850585938,306.0762939453125
105.20120849609376,314.19870605468753
114.81893310546876,321.4593505859375
126.6959228515625,321.60002441406255
128.79849853515626,333.00058593750003
134.05087890625,343.959423828125
138.38973388671874,354.26889648437503
146.96920166015624,361.7110107421875
150.917236328125,372.97770996093755
157.62105712890627,382.6154296875
165.91063232421877,391.44682617187505
173.08891601562502,401.191064453125
179.845068359375,410.298583984375
187.24071044921877,419.16166992187505
193.54052734375,425.821533203125
205.9010986328125,425.191064453125
217.080810546875,419.82763671875
227.4013671875,414.01230468750003
237.23430175781252,407.48386230468753
249.57778320312502,406.183544921875
260.6480224609375,402.36704101562503
269.4919677734375,395.0886962890625
279.31044921875,387.686279296875
288.243701171875,379.5105712890625
289.6,367.5716064453125
298.337158203125,362.45151367187503
309.4934326171875,358.8375244140625
317.85930175781255,349.709716796875
322.46796875,340.800048828125
325.1055419921875,330.15693359375
330.83518066406253,321.13188476562505
333.4297119140625,309.60051269531255
336.0757568359375,298.0474365234375
339.07512207031255,286.479296875
342.25102539062505,275.44384765625
348.365478515625,268.028564453125
347.80244140625,257.2313720703125
348.39047851562503,244.84267578125002
351.080078125,237.600048828125
348.5326171875,228.800048828125
357.4727783203125,233.343701171875
366.3624267578125,228.86308593750002
373.99924316406253,233.91506347656252
376,223.47172851562502
384.8,224.94096679687502
384.67697753906253,237.3505615234375
378.00266113281253,246.0496337890625
372.78779296875,254.85830078125002
368.595703125,263.720947265625
371.74528808593755,272.912060546875
378.67460937500005,267.20004882812503
382.936181640625,276.000537109375
385.547802734375,287.0330810546875
387.14377441406253,296.0885009765625
388.937646484375,307.93486328125005
397.85117187500003,305.703564453125
403.1614990234375,314.50681152343753
404.4531494140625,325.77658691406253
407.20849609375,328.686767578125
416.875390625,324.00090332031255
421.6,331.688134765625
411.402734375,335.2005126953125
414.367822265625,337.082275390625
421.36494140625,342.70529785156253
426.94975585937505,352.413525390625
427.73789062500003,364.79287109375
425.6669921875,376.69768066406255
420.66494140625,386.13193359375003
415.46225585937503,397.269970703125
411.2611328125,408.484765625
405.737060546875,417.26005859375005
401.3931396484375,427.99150390625005
393.431103515625,435.9884765625
385.72800292968753,443.504638671875
377.3056640625,451.978466796875
382.730859375,453.600048828125
395.1435546875,453.600048828125
407.55625000000003,453.600048828125
419.9689453125,453.600048828125
432.38164062500005,453.600048828125
444.794384765625,453.600048828125
457.20708007812505,453.600048828125
469.619775390625,453.600048828125
482.032470703125,453.600048828125
494.445068359375,453.600048828125
506.85776367187503,453.600048828125
509.600048828125,443.929638671875
509.598095703125,431.51694335937503
509.43906250000003,419.105712890625
504.20566406250003,413.59130859375
494.07060546875005,409.00102539062505
484.24462890625,401.58090820312503
475.67485351562505,393.173046875
466.62504882812505,384.678857421875
