1939-04-06T00:00:00	Sir Richard Ratcliff	Robert Marshall	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1988-10-22T00:00:00	Richard Ratcliffe	Richard Bremmer	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1988-10-22T00:00:00	Richard Duke of York	Lee Broom	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1988-10-22T00:00:00	Richard III	Anton Lesser	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1988-10-22T00:00:00	Richard Duke of York	Guy Newey	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2007-02-13T00:00:00	Emir Gloucester, later King Richard III	Fayez Kazak	director unknown	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2003-07-23T00:00:00	Richard III	Henry Goodman	Sean Holmes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1989-04-01T00:00:00	Richard Duke of York	Joseph Arton	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London
1989-04-01T00:00:00	Richard Duke of York	James Goodwin	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London
1985-03-19T00:00:00	Page to Richard III	Charles Millham	Bill Alexander	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
2007-01-23T00:00:00	Richard, Duke of Gloucester	Jonathan Slinger	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2007-01-23T00:00:00	Richard, Duke of York (alt)	Ralph Davis	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2007-01-23T00:00:00	Richard, Duke of York (alt)	Toby Millward	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2007-01-23T00:00:00	Richard, Duke of York (alt)	Oscar Powell	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2007-01-23T00:00:00	Sir Richard Ratcliffe	Matt Costain	Michael Boyd	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1928-04-13T00:00:00	Richard III	George Hayes	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1953-03-24T00:00:00	Sir Richard Ratcliff	Mervyn Blake	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1953-03-24T00:00:00	Richard III	Marius Goring	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1989-02-17T00:00:00	Richard Duke of York	Rory Gibson	Adrian Noble	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1964-08-12T00:00:00	Sir Richard Ratcliff	John Corvin	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1912-05-04T00:00:00	Sir Richard Ratcliff	Rupert L Conrick	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1899-04-18T00:00:00	Sir Richard Ratcliff	F Anney	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1901-04-27T00:00:00	Sir Richard Ratcliff	O P Bart	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1894-04-25T00:00:00	Richard Radcliffe	Mr Allen	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2012-04-17T00:00:00	Richard III	Jonjo O'Neill	Roxana Silbert	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2012-04-17T00:00:00	Richard, Duke of York	George David	Roxana Silbert	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2012-04-17T00:00:00	Richard, Duke of York	Hal Hewetson	Roxana Silbert	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
1981-11-24T00:00:00	Richard of York(alt)	Andrew O'Brien	Terry Hands	Royal Shakespeare Company	Aldwych Theatre, London
1981-11-24T00:00:00	Richard of York(alt)	Charles Rendall	Terry Hands	Royal Shakespeare Company	Aldwych Theatre, London
2012-06-03T00:00:00	Sir Richard Ratcliffe	Sam Amy	Lorraine Dunt	The Priory Players	Harwich Redoubt
2012-06-03T00:00:00	Duke of Gloucester (later Richard III)	Kevin Topple	Lorraine Dunt	The Priory Players	Harwich Redoubt
2012-06-03T00:00:00	Richard, Duke of York	David Ayton	Lorraine Dunt	The Priory Players	Harwich Redoubt
2011-03-27T00:00:00	Richard III	Richard Clothier	director unknown	unknown production company	The Lowry Theatre
2007-05-19T00:00:00	Richard III	Rob Maloney	Martin Nichols	unknown production company	New Venture Theatre, Brighton
1901-04-27T00:00:00	Richard III	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1995-01-01T00:00:00	Richard III	Gareth Armstrong	Mark Clements	unknown production company	Derby Playhouse
1984-01-01T00:00:00	Sir Richard Ratcliff	Ian MacKenzie	Bill Alexander	Royal Shakespeare Company	Barbican Theatre, London
1963-08-19T00:00:00	Richard III	Neil Stacy	Michael Croft	The Youth Theatre	Scala Theatre, London
1963-08-19T00:00:00	Richard, Duke of York	Alan Bennett	Michael Croft	The Youth Theatre	Scala Theatre, London
1919-04-26T00:00:00	Richard III	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1928-04-13T00:00:00	Richard III	George Hayes	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1981-11-24T00:00:00	Richard III	Alan Howard	Terry Hands	Royal Shakespeare Company	Aldwych Theatre, London
1990-01-01T00:00:00	Sir Richard Ratcliffe	Richard O’Callaghan	Richard Eyre	National Theatre	Lyttelton Theatre, National Theatre
1990-01-01T00:00:00	Richard III	Ian McKellen	Richard Eyre	National Theatre	Lyttelton Theatre, National Theatre
1990-01-01T00:00:00	Richard, Duke of York	Alex Scott	Richard Eyre	National Theatre	Lyttelton Theatre, National Theatre
1944-09-13T00:00:00	Sir Richard Ratcliffe; Murderer	Morris Sweden	John Burrell	unknown production company	New Theatre, London
1944-09-13T00:00:00	Richard, Duke of Gloster	Laurence Olivier	John Burrell	unknown production company	New Theatre, London
1961-01-01T00:00:00	Richard III	Paul Daneman	Colin George	unknown production company	Old Vic, London
1961-01-01T00:00:00	Richard, Duke of York	Jonathan Collins	Colin George	unknown production company	Old Vic, London
1939-04-06T00:00:00	Richard III	John Laurie	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1989-01-01T00:00:00	Richard III	Derek Jacobi	Clifford Williams	unknown production company	Kennedy Center Washington DC, USA
1989-01-01T00:00:00	Richard, Duke of York	Ian Harris	Clifford Williams	unknown production company	Kennedy Center Washington DC, USA
1979-09-28T00:00:00	Sir Richard Ratcliffe	Roger Gartland	Christopher Morahan	National Theatre	Olivier Theatre, National Theatre
1979-09-28T00:00:00	Messenger to King Richard	Nik Forster	Christopher Morahan	National Theatre	Olivier Theatre, National Theatre
1979-09-28T00:00:00	Richard, Duke of Gloucester	John Wood	Christopher Morahan	National Theatre	Olivier Theatre, National Theatre
1979-09-28T00:00:00	Richard, Duke of York	Jon Addison	Christopher Morahan	National Theatre	Olivier Theatre, National Theatre
1979-09-28T00:00:00	Richard, Duke fo York	Jeremy Dimmick	Christopher Morahan	National Theatre	Olivier Theatre, National Theatre
1976-01-01T00:00:00	Richard III	Alan Badel	Douglas Campbell	unknown production company	St George’s Theatre, Tufnell Park
1976-01-01T00:00:00	Richard Duke of York	Victoria Kempton	Douglas Campbell	unknown production company	St George’s Theatre, Tufnell Park
1976-01-01T00:00:00	Berkley/Sir Richard Ratcliffe	Michael Irving	Douglas Campbell	unknown production company	St George’s Theatre, Tufnell Park
1923-07-25T00:00:00	Richard III	Baliol Holloway	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1949-01-26T00:00:00	Richard, Duke of Gloster	Laurence Olivier	John Burrell	unknown production company	New Theatre, London
1949-04-30T00:00:00	Sir Richard Ratcliffe	Wolfe Morris	Michael Langham	unknown production company	Birmingham Repertory Theatre
1949-04-30T00:00:00	Lady Anne, afterwards married to Richard III	Anne Casson	Michael Langham	unknown production company	Birmingham Repertory Theatre
1949-04-30T00:00:00	Richard, Duke of Gloucester, brother to Edward IV	Alan Badel	Michael Langham	unknown production company	Birmingham Repertory Theatre
1949-04-30T00:00:00	Richard, Duke of York, son to Edward IV	Raymond Harper	Michael Langham	unknown production company	Birmingham Repertory Theatre
1921-07-18T00:00:00	Sir Richard Ratcliff	Arthur Keane	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2016-08-06T00:00:00	Richard III	Ralph Fiennes	Rupert Goold	unknown production company	Almeida Theatre, London, Islington
1949-01-01T00:00:00	Sir Richard Ratcliffe	Oliver Hunter	John Burrell	Old Vic Co.	New Theatre, London
1930-01-01T00:00:00	Sir Richard Ratcliff	John V Trevor	director unknown	Balliol Holloway Productions	New Theatre
1930-01-01T00:00:00	Richard, the little Duke of York	Harold Reese	director unknown	Balliol Holloway Productions	New Theatre
