<a href="/broadway-cast-staff/regina-taylor-109792">Regina Taylor</a>	Juliet	<td class="dates">Nov 12, 1986</td>
<a href="/broadway-cast-staff/leslie-howard-7293">Leslie Howard</a>	Hamlet	<td class="dates">Nov 10, 1936</td>
<a href="/broadway-cast-staff/pamela-stanley-60844">Pamela Stanley</a>	Ophelia	<td class="dates">Nov 10, 1936</td>
<a href="/broadway-cast-staff/ralph-fiennes-70980">Ralph Fiennes</a>	Hamlet	<td class="dates">May 02, 1995</td>
<a href="/broadway-cast-staff/tara-fitzgerald-70981">Tara FitzGerald</a>	Ophelia	<td class="dates">May 02, 1995</td>
<a href="/broadway-cast-staff/geoffrey-wilkinson-97870">Geoffrey Wilkinson</a>	Fool	<td class="dates">Feb 18, 1947</td>
<a href="/broadway-cast-staff/donald-wolfit-9532">Donald Wolfit</a>	King Lear of Britain	<td class="dates">Feb 18, 1947</td>
<a href="/broadway-cast-staff/joyce-ebert-39186">Joyce Ebert</a>	Ophelia	<td class="dates">Mar 16, 1961</td>
<a href="/broadway-cast-staff/donald-madden-51021">Donald Madden</a>	Hamlet	<td class="dates">Mar 16, 1961</td>
<a href="/broadway-cast-staff/jean-louis-barrault-6693">Jean-Louis Barrault</a>	Hamlet	<td class="dates">Dec 01, 1952</td>
<a href="/broadway-cast-staff/simone-valre-63029">Simone Valère</a>	Ophelia	<td class="dates">Dec 01, 1952</td>
<a href="/broadway-cast-staff/gladys-cooper-36243">Gladys Cooper</a>	Lady Macbeth	<td class="dates">Oct 07, 1935</td>
<a href="/broadway-cast-staff/philip-merivale-23489">Philip Merivale</a>	Macbeth	<td class="dates">Oct 07, 1935</td>
<a href="/broadway-cast-staff/moses-gunn-43304">Moses Gunn</a>	Othello	<td class="dates">Sep 14, 1970</td>
<a href="/broadway-cast-staff/roberta-maxwell-51946">Roberta Maxwell</a>	Desdemona	<td class="dates">Sep 14, 1970</td>
<a href="/broadway-cast-staff/lee-richardson-57732">Lee Richardson</a>	Iago	<td class="dates">Sep 14, 1970</td>
<a href="/broadway-cast-staff/james-earl-jones-47173">James Earl Jones</a>	Othello	<td class="dates">Feb 03, 1982</td>
<a href="/broadway-cast-staff/christopher-plummer-56307">Christopher Plummer</a>	Iago	<td class="dates">Feb 03, 1982</td>
<a href="/broadway-cast-staff/dianne-wiest-64900">Dianne Wiest</a>	Desdemona	<td class="dates">Feb 03, 1982</td>
<a href="/broadway-cast-staff/judith-anderson-29864">Judith Anderson</a>	Lady Macbeth	<td class="dates">Nov 11, 1941</td>
<a href="/broadway-cast-staff/maurice-evans-14727">Maurice Evans</a>	Macbeth	<td class="dates">Nov 11, 1941</td>
<a href="/broadway-cast-staff/john-gielgud-9565">John Gielgud</a>	Hamlet	<td class="dates">Oct 08, 1936</td>
<a href="/broadway-cast-staff/lillian-gish-42299">Lillian Gish</a>	Ophelia	<td class="dates">Oct 08, 1936</td>
<a href="/broadway-cast-staff/stephen-lang-48898">Stephen Lang</a>	Hamlet	<td class="dates">Apr 02, 1992</td>
<a href="/broadway-cast-staff/elizabeth-mcgovern-71159">Elizabeth McGovern</a>	Ophelia	<td class="dates">Apr 02, 1992</td>
<a href="/broadway-cast-staff/maurice-evans-14727">Maurice Evans</a>	Hamlet	<td class="dates">Jun 03, 1946</td>
<a href="/broadway-cast-staff/frances-reid-57418">Frances Reid</a>	Ophelia	<td class="dates">Jun 03, 1946</td>
<a href="/broadway-cast-staff/jude-law-49073">Jude Law</a>	Hamlet	<td class="dates">Oct 06, 2009</td>
<a href="/broadway-cast-staff/gugu-mbatha-raw-484698">Gugu Mbatha-Raw</a>	Ophelia	<td class="dates">Oct 06, 2009</td>
<a href="/broadway-cast-staff/gladys-cooper-36243">Gladys Cooper</a>	Desdemona	<td class="dates">Sep 27, 1935</td>
<a href="/broadway-cast-staff/kenneth-mackenna-15504">Kenneth MacKenna</a>	Iago	<td class="dates">Sep 27, 1935</td>
<a href="/broadway-cast-staff/philip-merivale-23489">Philip Merivale</a>	Othello	<td class="dates">Sep 27, 1935</td>
<a href="/broadway-cast-staff/andrea-weber-73458">Andrea Weber</a>	Lady Macbeth	<td class="dates">Jan 28, 1982</td>
<a href="/broadway-cast-staff/nicol-williamson-7894">Nicol Williamson</a>	Macbeth	<td class="dates">Jan 28, 1982</td>
<a href="/broadway-cast-staff/olivia-de-havilland-67261">Olivia de Havilland</a>	Juliet	<td class="dates">Mar 10, 1951</td>
<a href="/broadway-cast-staff/douglas-watson-97024">Douglas Watson</a>	Romeo	<td class="dates">Mar 10, 1951</td>
<a href="/broadway-cast-staff/barbara-jefford-46905">Barbara Jefford</a>	Ophelia	<td class="dates">Dec 16, 1958</td>
<a href="/broadway-cast-staff/john-neville-15767">John Neville</a>	Hamlet	<td class="dates">Dec 16, 1958</td>
<a href="/broadway-cast-staff/francesca-annis-70978">Francesca Annis</a>	Ophelia	<td class="dates">May 01, 1969</td>
<a href="/broadway-cast-staff/nicol-williamson-7894">Nicol Williamson</a>	Hamlet	<td class="dates">May 01, 1969</td>
<a href="/broadway-cast-staff/vivien-leigh-49426">Vivien Leigh</a>	Juliet	<td class="dates">May 09, 1940</td>
<a href="/broadway-cast-staff/laurence-olivier-15809">Laurence Olivier</a>	Romeo	<td class="dates">May 09, 1940</td>
<a href="/broadway-cast-staff/glenda-jackson-46712">Glenda Jackson</a>	Lady Macbeth	<td class="dates">Apr 21, 1988</td>
<a href="/broadway-cast-staff/christopher-plummer-56307">Christopher Plummer</a>	Macbeth	<td class="dates">Apr 21, 1988</td>
<a href="/broadway-cast-staff/maurice-evans-14727">Maurice Evans</a>	Hamlet	<td class="dates">Dec 13, 1945</td>
<a href="/broadway-cast-staff/frances-reid-57418">Frances Reid</a>	Ophelia	<td class="dates">Dec 13, 1945</td>
<a href="/broadway-cast-staff/patrick-stewart-9608">Patrick Stewart</a>	Macbeth	<td class="dates">Apr 08, 2008</td>
<a href="/broadway-cast-staff/kate-fleetwood-478136">Kate Fleetwood</a>	Lady Macbeth	<td class="dates">Apr 08, 2008</td>
<a href="/broadway-cast-staff/eleanor-goodrich-42537">Eleanor Goodrich</a>	Ophelia	<td class="dates">Dec 25, 1934</td>
<a href="/broadway-cast-staff/walter-hampden-15020">Walter Hampden</a>	Hamlet	<td class="dates">Dec 25, 1934</td>
<a href="/broadway-cast-staff/maureen-anderman-29833">Maureen Anderman</a>	Lady Macbeth	<td class="dates">Jan 22, 1981</td>
<a href="/broadway-cast-staff/philip-anglim-66749">Philip Anglim</a>	Macbeth	<td class="dates">Jan 22, 1981</td>
<a href="/broadway-cast-staff/katharine-cornell-9732">Katharine Cornell</a>	Juliet	<td class="dates">Dec 20, 1934</td>
<a href="/broadway-cast-staff/basil-rathbone-4443">Basil Rathbone</a>	Romeo	<td class="dates">Dec 20, 1934</td>
<a href="/broadway-cast-staff/coral-browne-33375">Coral Browne</a>	Lady Macbeth	<td class="dates">Oct 29, 1956</td>
<a href="/broadway-cast-staff/paul-rogers-58218">Paul Rogers</a>	Macbeth	<td class="dates">Oct 29, 1956</td>
<a href="/broadway-cast-staff/amy-levitt-96521">Amy Levitt</a>	Ophelia	<td class="dates">Mar 03, 1969</td>
<a href="/broadway-cast-staff/ellis-rabb-9602">Ellis Rabb</a>	Hamlet	<td class="dates">Mar 03, 1969</td>
<a href="/broadway-cast-staff/louis-calhern-14355">Louis Calhern</a>	King Lear of Britain	<td class="dates">Dec 25, 1950</td>
<a href="/broadway-cast-staff/norman-lloyd-15454">Norman Lloyd</a>	Fool	<td class="dates">Dec 25, 1950</td>
<a href="/broadway-cast-staff/maurice-evans-14727">Maurice Evans</a>	Hamlet	<td class="dates">Dec 04, 1939</td>
<a href="/broadway-cast-staff/katherine-locke-49981">Katherine Locke</a>	Ophelia	<td class="dates">Dec 04, 1939</td>
<a href="/broadway-cast-staff/virginia-bronson-33127">Virginia Bronson</a>	Lady Macbeth	<td class="dates">Mar 24, 1930</td>
<a href="/broadway-cast-staff/fritz-leiber-21965">Fritz Leiber</a>	Macbeth	<td class="dates">Mar 24, 1930</td>
<a href="/broadway-cast-staff/john-barrymore-31141">John Barrymore</a>	Hamlet	<td class="dates">Nov 16, 1922</td>
<a href="/broadway-cast-staff/rosalind-fuller-41458">Rosalind Fuller</a>	Ophelia	<td class="dates">Nov 16, 1922</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">Oct 06, 1919</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Ophelia	<td class="dates">Oct 06, 1919</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Macbeth	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/florence-auer-30350">Florence Auer</a>	Lady Macbeth	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Macbeth	<td class="dates">Apr 16, 1917</td>
<a href="/broadway-cast-staff/genevieve-hamper-43969">Genevieve Hamper</a>	Lady Macbeth	<td class="dates">Apr 16, 1917</td>
<a href="/broadway-cast-staff/donald-cameron-34325">Donald Cameron</a>	Romeo	<td class="dates">Oct 06, 1930</td>
