actor	bday
Jonathan Pryce	1947-06-01T00:00:00
Jonathan Scott-Taylor	1962-03-06T00:00:00
Jonathan Slinger	1972-08-15T00:00:00
Jonathan Wrather	1969-03-16T00:00:00
Jones Finch	person not found on wiki
Jonjo O'Neill	1978-07-11T00:00:00
Jonno Roberts	1975-06-01T00:00:00
Jonny Phillips	1963-09-05T00:00:00
Jordan Baker	person not found on wiki
Jose Tejera	person not found on wiki
Joseph Marcell	1948-08-14T00:00:00
Joseph Millson	1974-04-27T00:00:00
Joseph O Conor	1916-02-14T00:00:00
Joseph Siravo	1957-02-12T00:00:00
Josette Bushell-Mingo	1964-02-16T00:00:00
Josette Simon	1960-11-15T00:00:00
Joshua Mcguire	1987-01-01T00:00:00
Joss Ackland	1928-02-29T00:00:00
José Ferrer	1912-01-08T00:00:00
Joy Farmer-Clary	person not found on wiki
Joy Parker	person not found on wiki
Joyce Bland	1906-05-10T00:00:00
Joyce Carey	1898-03-30T00:00:00
Joyce Ebert	1933-06-26T00:00:00
Jude Law	1972-12-29T00:00:00
Judi Dench	1934-12-09T00:00:00
Judith Anderson	1897-02-10T00:00:00
Judy Buxton	1949-01-01T00:00:00
Judy Farnk	person not found on wiki
Julia Arthur	1869-05-03T00:00:00
Julia Coffey	person not found on wiki
Julia Ford	no birthday on article
Julia Jentsch	1978-02-20T00:00:00
Julia Marlowe	1865-08-17T00:00:00
Julian Cihi	person not found on wiki
Julian D’Albie	person not found on wiki
Julian Glover	1935-03-27T00:00:00
Julie Harris	person not found on wiki
Julie Walters	1950-02-22T00:00:00
Julienne Marie	1937-03-21T00:00:00
Juliet Rylance	1979-07-26T00:00:00
Juliet Stevenson	1956-10-30T00:00:00
June Brown	1927-02-16T00:00:00
Kananu Kirimi	1977-01-01T00:00:00
Kandis Chappell	1947-07-09T00:00:00
Karen Sunde	1942-07-18T00:00:00
Kate Abbruzzese	1986-01-01T00:00:00
Kate Buffery	1957-07-23T00:00:00
Kate Fahy	no birthday on article
Kate Fleetwood	1972-09-24T00:00:00
Kate Forbes	1963-01-01T00:00:00
Kate Mcguinness	person not found on wiki
Kate Nelligan	1950-03-16T00:00:00
Kate Reid	1930-11-04T00:00:00
Kate Rorke	person not found on wiki
Katharine Cornell	1893-02-16T00:00:00
Katharine Hepburn	1907-05-12T00:00:00
Katherine Emery	person not found on wiki
Katherine Locke	1910-06-24T00:00:00
Katherine Wemyss	person not found on wiki
Kathleen Widdoes	1939-03-21T00:00:00
Kathryn Hunter	1957-04-09T00:00:00
Kathryn Meisle	1899-10-14T00:00:00
Kathryn Merry	person not found on wiki
Kathryn Pogson	1954-01-01T00:00:00
Kathryn Wilder	person not found on wiki
Katie West	person not found on wiki
Katy Stephens	1970-01-01T00:00:00
Keith Bartlett	person not found on wiki
Keith Baxter	1933-04-29T00:00:00
Keith David	1956-06-04T00:00:00
Keith Michell	1926-12-01T00:00:00
Keith Wakeman	person not found on wiki
Kelly McGillis	1957-07-09T00:00:00
Kelly Mcgillis	1957-07-09T00:00:00
Kelly Reilly	1977-07-18T00:00:00
Kelly Williams	1982-02-07T00:00:00
Kelsey Grammer	1955-02-21T00:00:00
Kempster Barnes	person not found on wiki
Kenneth Branagh	1960-12-10T00:00:00
Kenneth Mackenna	person not found on wiki
Kenneth Welsh	1942-03-30T00:00:00
Kerry Condon	1983-01-04T00:00:00
Ketevan Shatirishvili	person not found on wiki
Kevin Kaine	person not found on wiki
Kevin Kelly	person not found on wiki
Kevin Kline	1947-10-24T00:00:00
Khyva St. Albans	person not found on wiki
Kika Markham	1940-01-01T00:00:00
Kim Cattrall	1956-08-21T00:00:00
Kim Coates	1958-02-21T00:00:00
Kirsten Parker	person not found on wiki
Kirsty Bushell	person not found on wiki
Kitty Winn	1944-02-21T00:00:00
Kristin Sentman	person not found on wiki
Kristina Nicoll	1964-01-01T00:00:00
Kristolyn Lloyd	person not found on wiki
Krystin Pellerin	1983-07-12T00:00:00
Kurt Egyiawan	1984-07-01T00:00:00
Kyle Scatliffe	1986-07-18T00:00:00
Kyrle Bellew	1850-03-28T00:00:00
L. Scott Caldwell	1950-04-17T00:00:00
Ladi Emeruwa	1989-01-01T00:00:00
Laila Robins	1959-03-14T00:00:00
Lana Sugarman	person not found on wiki
Lang	person not found on wiki
Larry Yando	person not found on wiki
Laura Esterman	1945-04-12T00:00:00
Laura Hicks	person not found on wiki
Laura Rogers	1979-03-10T00:00:00
Lauren Ambrose	1978-02-20T00:00:00
Laurence Harvey	1928-10-01T00:00:00
Laurence Olivier	1907-05-22T00:00:00
Laurence Payne	1919-06-05T00:00:00
Leah Harvey	1994-01-01T00:00:00
Lee Fox	1912-11-23T00:00:00
Lee J. Cobb	1911-12-08T00:00:00
Lee Richardson	1926-09-11T00:00:00
Len Cariou	1939-09-30T00:00:00
Lena Ashwell	1872-09-28T00:00:00
Lennie James	1965-10-11T00:00:00
Lenny Henry	1958-08-29T00:00:00
Leo Mckern	1920-03-16T00:00:00
Leo Wringer	person not found on wiki
Leon Eagles	1932-04-06T00:00:00
Leon Pownall	1943-04-26T00:00:00
Leroy Mcclain	1978-01-01T00:00:00
Leslee Udwin	1957-01-01T00:00:00
Leslie Howard	1893-04-03T00:00:00
Lesvi Vazquez	person not found on wiki
Lewis Gordon	1962-01-01T00:00:00
Lewis Hallam	no birthday on article
Lewis Waller	1860-11-03T00:00:00
Lex Shrapnel	1979-10-06T00:00:00
Lia Williams	1964-11-26T00:00:00
Liam Brennan	1964-01-05T00:00:00
Liam Cunningham	1961-06-02T00:00:00
Liev Schreiber	1967-10-04T00:00:00
Lilian Braithwaite	1873-03-09T00:00:00
Lillian Gish	1893-10-14T00:00:00
Lily Brayton	1876-06-23T00:00:00
Lily James	1989-04-05T00:00:00
Lily Rabe	1982-06-29T00:00:00
Linda Gardner	person not found on wiki
Linda Marsh	1939-02-08T00:00:00
Lindsay Crouse	1948-05-12T00:00:00
Lindsey Franklin	person not found on wiki
Linus Roache	1964-02-01T00:00:00
Lionel Barrymore	1878-04-28T00:00:00
Lionel Dainer	person not found on wiki
Lisa Dillon	no birthday on article
Lisa Harrow	1943-08-25T00:00:00
Lisa Joyce	person not found on wiki
Liz Sklar	person not found on wiki
Lloyd Everitt	1988-03-20T00:00:00
Lloyd Notice	person not found on wiki
Loren O’Brien	person not found on wiki
Lorenzo Pisoni	person not found on wiki
Lorna Heilbron	1948-06-08T00:00:00
Lorraine Burroughs	1981-01-01T00:00:00
Lou Trapani	person not found on wiki
Louis Bouwmeester	1842-09-05T00:00:00
Louis Calhern	1895-02-19T00:00:00
Louis Mellis	no birthday on article
Louise Ironside	person not found on wiki
Louise Marleau	1944-08-26T00:00:00
Louise Purnell	person not found on wiki
Lucian Msamati	1976-03-05T00:00:00
Lucy Black	person not found on wiki
Lucy Cohu	1968-10-02T00:00:00
Lucy Peacock	1960-10-04T00:00:00
Lucy Whybrow	person not found on wiki
Luke Thompson	1992-07-01T00:00:00
Luther Adler	1903-05-04T00:00:00
Lydia Sherwood	1906-05-05T00:00:00
Lyn Harding	1867-10-12T00:00:00
Lynn Collins	1977-05-16T00:00:00
Lynn Dearth	person not found on wiki
Lynn Farleigh	1942-12-03T00:00:00
M'El Dowd	person not found on wiki
Mabel Moore	person not found on wiki
Maddy Kerr	person not found on wiki
Madge Fabian	person not found on wiki
Madge Titheradge	1887-07-02T00:00:00
Maggie Smith	1934-12-28T00:00:00
Makram J. Khoury	person not found on wiki
Malcolm Storry	1948-01-13T00:00:00
Mamie Zwettler	1994-01-01T00:00:00
Mandana Jones	no birthday on article
Mandy Patinkin	1952-11-30T00:00:00
Marcia Kash	person not found on wiki
Margaret Halstan	1879-12-25T00:00:00
Margaret Hughes	1719-10-01T00:00:00
Margaret Johnston	1914-08-10T00:00:00
Margaret Leighton	1922-02-26T00:00:00
Margaret Phillips	1923-07-06T00:00:00
Margaret Whiting	1932-01-01T00:00:00
Margaretta Scott	1912-02-13T00:00:00
Mariah Gale	no birthday on article
Marianne Faithfull	1946-12-29T00:00:00
Marie Booth Russell	person not found on wiki
Marie Carroll	no birthday on article
Marie Lohr	1890-07-28T00:00:00
Mariko Fuji	person not found on wiki
Marin Hinkle	1966-03-23T00:00:00
Marion Day	person not found on wiki
Marion Terry	1853-10-13T00:00:00
Marius Goring	1912-05-23T00:00:00
Marjorie Bland	person not found on wiki
Marjorie Rambeau	1889-07-15T00:00:00
Mark Lewis Jones	1964-01-01T00:00:00
Mark Lockyer	1965-01-01T00:00:00
Mark Mcmanus	person not found on wiki
Mark Nelson	no birthday on article
Mark Niebuhr	person not found on wiki
Mark Philpot	person not found on wiki
Mark Rylance	1960-01-18T00:00:00
Martha Henry	1938-02-17T00:00:00
Marti Maraden	1945-06-22T00:00:00
Martin Connor	no birthday on article
Martin Freeman	1971-09-08T00:00:00
Martin Gibbons	1953-03-01T00:00:00
Martin Hutson	1975-07-01T00:00:00
Martin Marquez	1964-10-08T00:00:00
Martin Mckellan	person not found on wiki
Martin Sheen	1940-08-03T00:00:00
Martita Hunt	1900-01-30T00:00:00
Marton Csokas	1966-06-30T00:00:00
Mary Antoinette Anderson	1859-07-28T00:00:00
Mary Barbara Jefford	1930-07-26T00:00:00
Mary Carney	person not found on wiki
Mary Frances Scott-Siddons	person not found on wiki
Mary Hall	1876-01-01T00:00:00
Mary Holder	person not found on wiki
Mary Jo Randle	1954-04-28T00:00:00
Mary Merrall	1890-01-05T00:00:00
Mary Servoss	1888-06-02T00:00:00
Mary Sumner	1828-12-31T00:00:00
Mary Ure	1933-02-18T00:00:00
Matheson Lang	1879-05-15T00:00:00
Mathew Shepherd	person not found on wiki
Matt Consalvo	1993-01-01T00:00:00
Matthew Lewis	no birthday on article
Matthew Marsh	1954-07-08T00:00:00
Matthew Rhys	1974-11-08T00:00:00
Matthew Walker	no birthday on article
Maude Adams	1872-11-11T00:00:00
Maureen Anderman	1946-10-26T00:00:00
Maureen O'Brien	1943-06-29T00:00:00
Maureen O’Brien	1943-06-29T00:00:00
Maurice Colbourne	1939-09-24T00:00:00
Maurice Evans	1901-06-03T00:00:00
Maurice Moscovitch	1871-11-23T00:00:00
Max Von Sydow	1929-04-10T00:00:00
Maxine Elliott	1868-02-05T00:00:00
Maxine Peake	1974-07-14T00:00:00
Mckay Morris	person not found on wiki
Meg Fraser	1970-01-01T00:00:00
Megan Porter Follows	person not found on wiki
Melanie Thaw	1964-07-15T00:00:00
Melinda Mullins	1958-04-20T00:00:00
Melissa Friedman	person not found on wiki
Michael Aldridge	1920-09-09T00:00:00
Michael Benz	no birthday on article
Michael Bryant	1928-04-05T00:00:00
Michael Cashman	1950-12-17T00:00:00
Michael Cumpsty	1960-02-28T00:00:00
Michael Gambon	1940-10-19T00:00:00
Michael Gould	1961-05-03T00:00:00
Michael Hammond	not a date
Michael Higgins	1920-01-20T00:00:00
Michael Hordern	1911-10-03T00:00:00
Michael Maloney	1957-06-19T00:00:00
Michael Milligan	1979-01-01T00:00:00
Michael Moriarty	1941-04-05T00:00:00
Michael Murray Hordern	1911-10-03T00:00:00
Michael Pennington	1943-06-07T00:00:00
Michael Redgrave	1908-03-20T00:00:00
Michael Rivera	person not found on wiki
Michael Rogers	1964-05-18T00:00:00
Michael Scudamore Redgrave	1908-03-20T00:00:00
Michael Sheen	1969-02-05T00:00:00
Michael Stuhlbarg	1968-07-05T00:00:00
Michael Thomas	1952-04-11T00:00:00
Michael Urie	1980-08-08T00:00:00
Michael Williams	1935-07-09T00:00:00
Michael Winters	no birthday on article
Michelle Beck	no birthday on article
Michelle Dockery	1981-12-15T00:00:00
Michelle Fairley	1963-07-11T00:00:00
Michelle Giroux	1975-01-01T00:00:00
Michelle Hardwick	1976-02-26T00:00:00
Michelle Newell	1951-06-18T00:00:00
Michelle Terry	1979-01-01T00:00:00
Miles Anderson	1947-10-23T00:00:00
Milton Quinney	person not found on wiki
Miriam Healy-Louie	person not found on wiki
Miss Alleyn	person not found on wiki
Miss Calhoun	person not found on wiki
Miss Masson	person not found on wiki
Miss Vincent	no birthday on article
Miss Wallis	person not found on wiki
Mitchell Ryan	1928-01-11T00:00:00
Moira Lister	1923-08-06T00:00:00
Molly Terraine	person not found on wiki
Morgan Western	person not found on wiki
Morven Christie	1981-09-01T00:00:00
Moses Gunn	1929-10-02T00:00:00
Mr Rumball	person not found on wiki
Mr Thalberg	person not found on wiki
Mr. Rigby	person not found on wiki
Mrs Charles Calvert	person not found on wiki
Mrs. Hallam	person not found on wiki
Mrs. James W. Wallack, Jr.	person not found on wiki
Murray Carrington	1885-03-13T00:00:00
Murray Kinnell	1889-07-24T00:00:00
Myles Eason	1915-05-07T00:00:00
N De Silva	person not found on wiki
Nachum Buchman	1917-06-06T00:00:00
Naeem Hayat	1988-01-01T00:00:00
Nan Martin	1927-07-15T00:00:00
Nan Sunderland	person not found on wiki
Nancy Carroll	1903-11-19T00:00:00
Nancy Palk	1956-01-01T00:00:00
Nancy Price	1880-02-03T00:00:00
Nancy Wickwire	1925-11-20T00:00:00
Naomi Frederick	1976-11-29T00:00:00
Nat C. Goodwin	1857-07-25T00:00:00
Natalia Tena	1984-11-01T00:00:00
Natalie Dew	person not found on wiki
Natalie Klamar	person not found on wiki
Natalie Simpson	person not found on wiki
Natalie Wilde	person not found on wiki
Natasha Parry	1930-12-02T00:00:00
Natasha Richardson	1963-05-11T00:00:00
Nathalia Martinez	person not found on wiki
Nathaniel Parker	1962-05-18T00:00:00
Ned Eisenberg	1957-01-13T00:00:00
Neil Caple	person not found on wiki
Neil Dainard	person not found on wiki
Neil Porter	person not found on wiki
Neil Stacy	person not found on wiki
Nell Carter	1948-09-13T00:00:00
Ng Wai Shek	person not found on wiki
Niamh Cusack	1959-10-20T00:00:00
Nichola McAuliffe	1955-08-27T00:00:00
Nichola Mcauliffe	person not found on wiki
Nicholas Farrell	1955-07-01T00:00:00
Nicholas Gleaves	1969-01-01T00:00:00
Nicholas Jeune	person not found on wiki
Nicholas Jones	1946-04-03T00:00:00
Nicholas Kepros	1932-11-08T00:00:00
Nicholas Pennell	1938-11-19T00:00:00
Nicholas Shaw	1982-01-01T00:00:00
Nick Howard-Brown	person not found on wiki
Nick Mancuso	1948-05-29T00:00:00
Nick Monu	1965-03-25T00:00:00
Nicol Williamson	1936-09-14T00:00:00
Nicola Pagett	1945-06-15T00:00:00
Nicole Hartley	person not found on wiki
Nicole Lowrance	person not found on wiki
Nigel Barnard Hawthorne	person not found on wiki
Nigel Hamer	1959-09-01T00:00:00
Nigel Hawthorne	1929-04-05T00:00:00
Nigel Terry	1945-08-15T00:00:00
Nika Kuchava	person not found on wiki
Nikki Amuka-Bird	1976-01-01T00:00:00
Nikki M. James	1981-06-03T00:00:00
Nikkole Salter	1979-01-01T00:00:00
Nina Sosanya	1969-06-06T00:00:00
Ninja	no birthday on article
Noble Shropshire	1946-01-01T00:00:00
Nonso Anozie	1979-05-28T00:00:00
Norah Lopez Holden	person not found on wiki
Noreen Kershaw	1950-10-16T00:00:00
Norman Rodway	1929-02-07T00:00:00
Nyree Dawn Porter	1936-01-22T00:00:00
Octavia Walters	person not found on wiki
Octavio Cervantes	person not found on wiki
Ognen Drangovski	person not found on wiki
Olga Edwardes	1917-05-26T00:00:00
Olive Oliver	person not found on wiki
Oliver Crombie	person not found on wiki
Oliver Ford Davies	1939-08-12T00:00:00
Oliver Hickey	person not found on wiki
Olivia Birkelund	1963-04-26T00:00:00
Olivia De Havilland	1916-07-01T00:00:00
Olivia Vinall	person not found on wiki
Oran Marc De Baritault	person not found on wiki
Orlando Bloom	1977-01-13T00:00:00
Orson Welles	1915-05-06T00:00:00
Oscar Asche	1871-01-26T00:00:00
Oscar Isaac	1979-03-09T00:00:00
Oscar Pearce	person not found on wiki
Osmond Tearle	person not found on wiki
Otho Stuart	person not found on wiki
Owen Teale	1961-05-20T00:00:00
Oyin Oladejo	person not found on wiki
P Gedge Twyman	person not found on wiki
Paapa Essiedu	1990-01-01T00:00:00
Pamela Brown	person not found on wiki
Pamela Payton-Wright	1941-11-01T00:00:00
Pamela Stanley	1909-09-06T00:00:00
Pat Galloway	1933-05-13T00:00:00
Paterson Joseph	1964-06-22T00:00:00
Patrice Johnson	no birthday on article
Patrice Naiambana	1962-07-01T00:00:00
Patricia Jessel	1920-10-15T00:00:00
Patricia Kerrigan	1961-01-01T00:00:00
Patrick Allen	1927-03-17T00:00:00
Patrick O'Kane	1965-01-01T00:00:00
Patrick O’Kane	person not found on wiki
Patrick Page	1962-04-27T00:00:00
Patrick Stewart	1940-07-13T00:00:00
Patsy Ferran	1989-01-01T00:00:00
Pattie Adkins	person not found on wiki
Paul Barber	1951-03-18T00:00:00
Paul Daneman	1925-10-29T00:00:00
Paul Giamatti	1967-06-06T00:00:00
Paul Gross	1959-04-30T00:00:00
Paul Haddad	person not found on wiki
Paul Hastings	no birthday on article
Paul Hickey	person not found on wiki
Paul Higgins	1964-01-01T00:00:00
Paul Hilton	no birthday on article
Paul Jesson	1946-07-06T00:00:00
Paul Jones	person not found on wiki
Paul Leroy Robeson	1898-04-09T00:00:00
Paul Nolan	1979-01-01T00:00:00
Paul Robeson	1898-04-09T00:00:00
Paul Rogers	1917-03-22T00:00:00
Paul Rudd	1969-04-06T00:00:00
Paul Scofield	1922-01-21T00:00:00
Paul Shelley	1942-05-15T00:00:00
Paul Soles	1930-08-11T00:00:00
Paul Stevens	1921-01-17T00:00:00
Paula Prentiss	1938-03-04T00:00:00
Pauline Letts	person not found on wiki
Pedro De Cordoba	1881-09-28T00:00:00
Peggy Ashcroft	1907-12-22T00:00:00
Peggy Bryan	1916-01-03T00:00:00
Peggy Wood	1892-02-09T00:00:00
Penny Downie	1954-01-01T00:00:00
Penny Layden	1969-01-01T00:00:00
Pernell Roberts	1928-05-18T00:00:00
Pete Postlethwaite	1946-02-07T00:00:00
Peter Aylward	person not found on wiki
Peter De Jersey	1965-07-01T00:00:00
Peter Dinklage	1969-06-11T00:00:00
Peter Donaldson	1953-10-29T00:00:00
Peter Donat	1928-01-20T00:00:00
Peter Egan	1946-09-28T00:00:00
Peter Eyre	1942-03-11T00:00:00
Peter Firth	1953-10-27T00:00:00
Peter Glenville	1913-10-28T00:00:00
Peter Mcenery	1940-02-21T00:00:00
Peter Mckay	person not found on wiki
Peter O Toole	1932-08-02T00:00:00
Peter O'Toole	1932-08-02T00:00:00
Peter Sarsgaard	1971-03-07T00:00:00
Peter Seamus O'Toole	1932-08-02T00:00:00
Peter Ustinov	no birthday on article
Peter Woodward	1956-01-24T00:00:00
Philip Akin	1950-04-18T00:00:00
Philip Anglim	1953-02-11T00:00:00
Philip Bowen	no birthday on article
Philip Franks	1956-02-02T00:00:00
Philip Goodwin	1954-01-01T00:00:00
Philip Lawrence	1947-08-21T00:00:00
Philip Merivale	1886-11-02T00:00:00
Philip Voss	1936-01-01T00:00:00
Philipa Urquhart	person not found on wiki
Philippa Urquhart	no birthday on article
Phoebe Fildes	person not found on wiki
Phoebe Pryce	1990-01-01T00:00:00
Phyllis Neilson-Terry	1892-10-15T00:00:00
Phyllis Relph	person not found on wiki
Pippa Nixon	1980-01-01T00:00:00
Pippa Pearthree	person not found on wiki
Postell Pringle	1976-01-01T00:00:00
R Eric Lee	person not found on wiki
R.D. Maclean	person not found on wiki
R.H. Thomson	1947-09-24T00:00:00
Rachel Brosnahan	no birthday on article
Rachel Kempson	1910-05-28T00:00:00
Rachel Pickup	1973-07-15T00:00:00
Ralph Fiennes	1962-12-22T00:00:00
Ralph Richardson	1902-12-19T00:00:00
Randle Ayrton	1869-08-09T00:00:00
Raul Julia	1940-03-09T00:00:00
Ray Fearon	1973-08-05T00:00:00
Raymond Massey	1896-08-30T00:00:00
Raymond Raikes	1910-09-13T00:00:00
Raymond Westwell	1919-06-06T00:00:00
Rebecca Jackson	no birthday on article
Rebecca Saire	1963-04-16T00:00:00
Rebekah Brockman	person not found on wiki
Regina Taylor	1960-08-22T00:00:00
Reginald Pole	1500-03-12T00:00:00
Rene Moreno	person not found on wiki
Richard Briers	1934-01-14T00:00:00
Richard Burton	1925-11-10T00:00:00
Richard Chamberlain	1934-03-31T00:00:00
Richard Clothier	1966-01-01T00:00:00
Richard Davy	no birthday on article
Richard Dreyfuss	1947-10-29T00:00:00
Richard Gofton	person not found on wiki
Richard Haddon Haines	1948-06-06T00:00:00
Richard Hurndall	1910-11-03T00:00:00
Richard Johnson	1927-07-30T00:00:00
Richard Kay	no birthday on article
Richard Kidd	person not found on wiki
Richard Madden	1986-06-18T00:00:00
Richard Mccabe	1960-08-18T00:00:00
Richard Monette	1944-06-19T00:00:00
Richard Novello	person not found on wiki
Richard Roxburgh	1962-01-23T00:00:00
Richard Whorf	1906-06-04T00:00:00
Ricky Fearon	person not found on wiki
Rob Campbell	no birthday on article
Rob Maloney	person not found on wiki
Rob Nagle	1970-09-03T00:00:00
Robert Atkins	1886-08-10T00:00:00
Robert B. Mantell	1854-02-07T00:00:00
Robert Beck	1970-08-01T00:00:00
Robert Blackburn	1925-01-21T00:00:00
Robert Eddison	1908-06-10T00:00:00
Robert Harris	1900-01-01T00:00:00
Robert Helpmann	1909-04-09T00:00:00
Robert Laughlin	no birthday on article
Robert Lindsay	1949-12-13T00:00:00
Robert Loraine	1876-01-14T00:00:00
Robert Rietz	person not found on wiki
Robert Stattel	person not found on wiki
Robert Stephens	1931-07-14T00:00:00
Robert Upton	1884-02-03T00:00:00
Robert Whitworth	1799-03-30T00:00:00
Roberta Maxwell	1942-06-17T00:00:00
Robin Bailey	1919-10-05T00:00:00
Rod Beattie	1948-01-01T00:00:00
Roger Allam	1953-10-26T00:00:00
Roger Hume	person not found on wiki
Roger Rees	1944-05-05T00:00:00
Roland Oliver	1923-03-30T00:00:00
Rollo Peters	person not found on wiki
Ron Canada	1949-05-03T00:00:00
Ron Cephas Jones	1957-01-08T00:00:00
Ron Donachie	1956-04-26T00:00:00
Ron Leibman	1937-10-11T00:00:00
Ron O'Neal	1937-09-01T00:00:00
Ronn Sarosiak	person not found on wiki
Rory Kinnear	1978-02-17T00:00:00
Rosa Maria Velasco	1975-01-01T00:00:00
Rosalind Fuller	person not found on wiki
Rosalind Iden	person not found on wiki
Rosalind Paul	person not found on wiki
Rosaline Courtneidge	person not found on wiki
Rosemary Harris	1927-09-19T00:00:00
Rosemary Webster	person not found on wiki
Roshina Ratnam	person not found on wiki
Roy Dotrice	1923-05-26T00:00:00
Roy Emerton	1893-10-09T00:00:00
Rudi Davies	1965-03-24T00:00:00
Rudolph Walker	1939-09-28T00:00:00
Rufus Sewell	1967-10-29T00:00:00
Rula Lenska	1947-09-30T00:00:00
Rupert Evans	1977-01-01T00:00:00
Rupert Wickham	1964-01-01T00:00:00
Russell Thorndike	no birthday on article
Ruth Kenley	person not found on wiki
Ruth Lodge	1914-08-13T00:00:00
Ruth Negga	1982-01-07T00:00:00
Ryman Sneed	person not found on wiki
S Phillips	person not found on wiki
Sabrina Grdevich	1970-10-07T00:00:00
Sabrina Le Beauf	1958-03-21T00:00:00
Sadie Pepperell	person not found on wiki
Saira Todd	person not found on wiki
Sally Dexter	1960-04-15T00:00:00
Sally Mais	person not found on wiki
Sam Spruell	1977-01-01T00:00:00
Sam Troughton	1977-03-21T00:00:00
Sam Valentine	1934-10-13T00:00:00
Sam Wanamaker	1919-06-14T00:00:00
Sam Waterston	1940-11-15T00:00:00
Samantha Bond	1961-11-27T00:00:00
Samantha Robinson	1981-03-25T00:00:00
Samantha Soule	no birthday on article
Samantha Spiro	1968-06-20T00:00:00
Samantha Whittaker	person not found on wiki
Sammie Winmill	1948-11-28T00:00:00
Samuel West	1966-06-19T00:00:00
Sandra Macdonald	no birthday on article
Sara Green	person not found on wiki
Sara Jackson	person not found on wiki
Sara Kestelman	1944-05-12T00:00:00
Sara Mayer	person not found on wiki
Sara Topham	1976-01-01T00:00:00
Sara Topham Bcc	1976-01-01T00:00:00
Sarah Badel	1943-03-30T00:00:00
Sarah Bernhardt	1844-10-23T00:00:00
Sarah Cattle	person not found on wiki
Sarah Ridgeway	person not found on wiki
Sarah Swingler	person not found on wiki
Sarah Woodward	1963-04-03T00:00:00
Sarah-Jane Holm	person not found on wiki
Saskia Portway	person not found on wiki
Saxon Palmer	person not found on wiki
Sayre Crawley	1867-03-08T00:00:00
Scott Handy	person not found on wiki
Scott Shepherd	no birthday on article
Scott Sunderland	1883-09-19T00:00:00
Scott Wentworth	1955-01-01T00:00:00
Scott Wilson	1942-03-29T00:00:00
Sean Arbuckle	person not found on wiki
Sean Bean	1959-04-17T00:00:00
Sean Campion	1959-12-20T00:00:00
Sean Mcnall	person not found on wiki
Seana McKenna	1956-08-15T00:00:00
Seana Mckenna	1956-08-15T00:00:00
Sebastian Shaw	1905-05-29T00:00:00
Selena Royle	1904-11-06T00:00:00
Sello Maake Ka-Ncube	1960-03-12T00:00:00
Seth Duerr	person not found on wiki
Severn Thompson Bcc	person not found on wiki
Sharry Flett	person not found on wiki
Shelley Willetts	person not found on wiki
Shepperd Strudwick	1907-09-22T00:00:00
Shereen Ibrahim	person not found on wiki
Sheridan Fitzgerald	1950-09-04T00:00:00
Sian Brooke	no birthday on article
Sian Thomas	1953-09-20T00:00:00
Sidney Walker	1921-04-01T00:00:00
Sidonie Boll	person not found on wiki
Sigourney Weaver	1949-10-08T00:00:00
Simon Dutton	1958-01-01T00:00:00
Simon Harrison	1969-09-06T00:00:00
Simon Russell Beale	1961-01-12T00:00:00
Simon Scardifield	not a date
Simon Templeman	no birthday on article
Simone Signoret	1921-03-25T00:00:00
Simone Valère	1923-08-02T00:00:00
Sinead Cusack	1948-02-18T00:00:00
Sinead Keenan	2012-01-09T00:00:00
Sinã©Ad Cusack	person not found on wiki
Siobhan Mckenna	person not found on wiki
Siobhan Stanley	person not found on wiki
Sir Herbert Beerbohm Tree	1852-12-17T00:00:00
Sirine Saba	person not found on wiki
Sophie Thompson	1962-01-20T00:00:00
Stacy Keach	1941-06-02T00:00:00
Stella Gonet	1960-05-08T00:00:00
Stephen Dillane	1957-03-27T00:00:00
Stephen Lang	1952-07-11T00:00:00
Stephen Ouimette	1954-06-30T00:00:00
Stephen Russell	no birthday on article
Sterling Jensen	1925-01-01T00:00:00
Steve Pickering	person not found on wiki
Stuart Wilson	1946-12-25T00:00:00
Susan Coyne	1958-06-16T00:00:00
Susan Fleetwood	1944-09-21T00:00:00
Susan Mcarthur	person not found on wiki
Susie Riddell	person not found on wiki
Suzanne Bertish	1951-08-07T00:00:00
Sybil Thorndike	1882-10-24T00:00:00
Sydney Walker	1921-05-05T00:00:00
Sylvestra Le Touzel	1958-01-01T00:00:00
T B Thalberg	person not found on wiki
Tallulah Bankhead	1902-01-31T00:00:00
Tara Fitzgerald	1967-09-18T00:00:00
Tara Sharma	1977-01-11T00:00:00
Ted Van Griethuysen	person not found on wiki
Tendayi Jembere	no birthday on article
Tessa Auberjonois	1973-01-01T00:00:00
Tessa Peake-Jones	1957-05-09T00:00:00
Thea Holme	1904-01-01T00:00:00
Thelma Barlow	1929-06-19T00:00:00
Thomas Hamblin	1800-05-14T00:00:00
Thomas Kean	1935-04-21T00:00:00
Thomas Thieme	1948-10-29T00:00:00
Tim Mcinnerny	1956-09-18T00:00:00
Tim Mcmullan	person not found on wiki
Tim Pigott-Smith	1946-05-13T00:00:00
Timothy Dalton	1946-03-21T00:00:00
Timothy Walker	1972-11-04T00:00:00
Timothy West	1934-10-20T00:00:00
Tina Jones	person not found on wiki
Tinarie Van Wyk Loots	1980-12-17T00:00:00
Tobi Weinberg	person not found on wiki
Toby Stephens	1969-04-21T00:00:00
Tom Bevan	no birthday on article
Tom Burke	1981-06-30T00:00:00
Tom Courtenay	1937-02-25T00:00:00
Tom Fleming	1927-06-29T00:00:00
