actor	bday
Bill Camp	1967-01-01T00:00:00
Bill Wallis	1936-11-20T00:00:00
Blanche Cholet	person not found on wiki
Blanche Herrick	person not found on wiki
Bo Foxworth	1965-01-01T00:00:00
Bob Peck	1945-08-23T00:00:00
Boris Mitkov	person not found on wiki
Brent Carver	1951-11-17T00:00:00
Brewster Mason	1922-08-30T00:00:00
Brian Aherne	1902-05-02T00:00:00
Brian Bedford	1935-02-16T00:00:00
Brian Cox	1946-06-01T00:00:00
Brian Murray	1937-09-10T00:00:00
Brian Reddy	person not found on wiki
Brid Brennan	1953-01-01T00:00:00
Brigid O’Sullivan	person not found on wiki
Brooke Parks	person not found on wiki
Bruno Gerussi	1928-05-07T00:00:00
Bryce Dallas Howard	1981-03-02T00:00:00
C.J. Wilson	1980-11-18T00:00:00
Carl Lumbly	1951-08-14T00:00:00
Carlotta Sherwood	person not found on wiki
Carlyss Peer	person not found on wiki
Carol Kane	1952-06-18T00:00:00
Carol Royle	no birthday on article
Carole Shelley	1939-08-16T00:00:00
Caroline Martin	person not found on wiki
Carrie Preston	1967-06-21T00:00:00
Cassandra Bissell	person not found on wiki
Cassie Layton	person not found on wiki
Cate Blanchett	1969-05-14T00:00:00
Catherine Bailey	1980-01-02T00:00:00
Catherine Lacey	1904-05-06T00:00:00
Cathryn Bradshaw	1964-01-13T00:00:00
Cecilia Loftus	1876-10-22T00:00:00
Cecilia Noble	person not found on wiki
Celia Johnson	1908-12-18T00:00:00
Celine Bonnier	1965-08-31T00:00:00
Chaon Cross	1977-01-01T00:00:00
Charles Barron	1950-10-07T00:00:00
Charles Doran	1877-01-01T00:00:00
Charles Keating	1941-10-22T00:00:00
Charles Laughton	1899-07-01T00:00:00
Charles S. Dutton	1951-01-30T00:00:00
Charlotte Cornwell	1949-04-26T00:00:00
Charlotte Randle	person not found on wiki
Charlotte Still	person not found on wiki
Cherry Cottrell	person not found on wiki
Cheryl Campbell	1949-05-22T00:00:00
Ching Valdes-Aran	person not found on wiki
Chiwetel Ejiofor	1977-07-10T00:00:00
Chris Butler	person not found on wiki
Chris Donnelly	2009-06-04T00:00:00
Chris Porter	person not found on wiki
