http://www.lortel.org/Archives/Production/2577	April 9, 1978	Fool	Dennis Bacigalupi
http://www.lortel.org/Archives/Production/2577	April 9, 1978	Lear	David Schramm
http://www.lortel.org/Archives/Production/1187	January 25, 1991	Juliet	Miriam Healy-Louie
http://www.lortel.org/Archives/Production/1187	January 25, 1991	Romeo	Mark Niebuhr
http://www.lortel.org/Archives/Production/1221	January 11, 1990	Desdemona	Olivia Birkelund
http://www.lortel.org/Archives/Production/1221	January 11, 1990	Iago	Brian Reddy
http://www.lortel.org/Archives/Production/1221	January 11, 1990	Othello	Michael Rogers
http://www.lortel.org/Archives/Production/2180	February 28, 1982	Lear	Robert Stattel
http://www.lortel.org/Archives/Production/2796	July 26, 1973	Lear	James Earl Jones
http://www.lortel.org/Archives/Production/1989	December 15, 1983	Ophelia	Ginger Grace
http://www.lortel.org/Archives/Production/1989	December 15, 1983	Hamlet	Noble Shropshire
http://www.lortel.org/Archives/Production/2995	October 18, 1970	Hamlet	Art Burns
http://www.lortel.org/Archives/Production/2995	October 18, 1970	Ophelia	Lou Trapani
http://www.lortel.org/Archives/Production/2689	June 18, 1975	Ophelia	Andrea Marcovicci
http://www.lortel.org/Archives/Production/2689	June 18, 1975	Ophelia	Nancy Campbell
http://www.lortel.org/Archives/Production/2525	January 3, 1978	Desdemona	Mary Carney
http://www.lortel.org/Archives/Production/2525	January 3, 1978	Othello	Earle Hyman
http://www.lortel.org/Archives/Production/2525	January 3, 1978	Iago	Nicholas Kepros
http://www.lortel.org/Archives/Production/4397	March 21, 1986	Macbeth	J. Kenneth Campbell
http://www.lortel.org/Archives/Production/4397	March 21, 1986	Lady Macbeth	Francesca James
http://www.lortel.org/Archives/Production/2356	June 27, 1979	Desdemona	Frances Conroy
http://www.lortel.org/Archives/Production/2356	June 27, 1979	Iago	Richard Dreyfuss
http://www.lortel.org/Archives/Production/2356	June 27, 1979	Othello	Raul Julia
http://www.lortel.org/Archives/Production/2356	June 27, 1979	Othello	Keith David
http://www.lortel.org/Archives/Production/2356	June 27, 1979	Iago	Bruce McGill
http://www.lortel.org/Archives/Production/5161	November 29, 1968	Fool	Jon Carlson
http://www.lortel.org/Archives/Production/5161	November 29, 1968	King Lear	Sterling Jensen
http://www.lortel.org/Archives/Production/3343	December 26, 1967	Ophelia	April Shawhan
http://www.lortel.org/Archives/Production/3343	December 26, 1967	Hamlet	Martin Sheen
http://www.lortel.org/Archives/Production/5942	January 2, 1959	Fool	Richard Mathews
http://www.lortel.org/Archives/Production/5942	January 2, 1959	Lear	Sidney Walker
http://www.lortel.org/Archives/Production/5158	December 21, 1969	Macbeth	Sterling Jensen
http://www.lortel.org/Archives/Production/5158	December 21, 1969	Lady Macbeth	Elizabeth Owens
http://www.lortel.org/Archives/Production/5907	April 13, 1974	Lady Macbeth	Laura Esterman
http://www.lortel.org/Archives/Production/5907	April 13, 1974	Macbeth	Christopher Walken
http://www.lortel.org/Archives/Production/3599	June 16, 1964	Ophelia	Julie Harris
http://www.lortel.org/Archives/Production/3599	June 16, 1964	Hamlet	Alfred Ryder
http://www.lortel.org/Archives/Production/4235	October 27, 1956	Hamlet	Philip Lawrence
